iteration|level|ip_address|response_time|country|region|city|longitude|latitude|isp|org
11|14|209.85.248.53|140.616 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
11|15|74.125.21.139|23.113 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
12|1|192.168.0.1|12.133 ms|||||||
12|2|174.111.102.226|32.754 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
12|3|24.25.62.50|10.103 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
12|4|24.93.64.186|19.324 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
12|5|24.93.67.202|19.036 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
12|6|66.109.6.82|25.636 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
12|7|205.197.180.41|53.346 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
12|8|205.197.180.54|39.189 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
12|9|216.239.51.53|106.838 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
12|10|209.85.247.150|124.664 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
12|11|216.239.51.243|161.001 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
12|12|209.85.142.138|134.125 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
12|13|209.85.253.3|129.063 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
12|14|216.239.56.166|134.867 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
12|15|74.125.21.139|147.688 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
13|1|192.168.0.1|8.316 ms|||||||
13|2|174.111.102.224|128.312 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
13|3|24.25.62.48|124.289 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
13|4|24.93.64.184|137.081 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
13|5|24.93.67.200|122.944 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
13|6|66.109.6.80|136.988 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
13|7|216.50.79.33|139.585 ms|United States|VA|Newport News|-76.5892|37.1254|XO Communications|XO Communications
13|8|216.50.79.66|112.493 ms|United States|VA|Newport News|-76.5892|37.1254|XO Communications|XO Communications
13|9|216.239.62.139|145.563 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
13|10|216.58.215.46|140.049 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
